system:index,classification,.geo
0_0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.428565004752782]}"
0_1,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.473480768958757]}"
0_2,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.473480768958757]}"
0_3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.518396533164733]}"
0_4,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.518396533164733]}"
0_5,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.56331229737071]}"
0_6,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.56331229737071]}"
0_7,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.608228061576686]}"
0_8,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.608228061576686]}"
0_9,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,15.608228061576686]}"
0_10,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,15.653143825782662]}"
0_11,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.653143825782662]}"
0_12,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.653143825782662]}"
0_13,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,15.653143825782662]}"
0_14,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,15.698059589988638]}"
0_15,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.698059589988638]}"
0_16,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.698059589988638]}"
0_17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,15.698059589988638]}"
0_18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,15.698059589988638]}"
0_19,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,15.742975354194614]}"
0_20,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.742975354194614]}"
0_21,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.742975354194614]}"
0_22,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,15.742975354194614]}"
0_23,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63939541569778,15.742975354194614]}"
0_24,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72922694410973,15.742975354194614]}"
0_25,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7741427083157,15.742975354194614]}"
0_26,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,15.742975354194614]}"
0_27,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,15.742975354194614]}"
