system:index,classification,.geo
0_0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.99372755800933,23.603234090240427]}"
0_1,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.0386433222153,23.603234090240427]}"
0_2,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.08355908642127,23.603234090240427]}"
0_3,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.12847485062726,23.603234090240427]}"
0_4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.17339061483322,23.603234090240427]}"
0_5,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.2183063790392,23.603234090240427]}"
0_6,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.26322214324517,23.603234090240427]}"
0_7,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.30813790745115,23.603234090240427]}"
0_8,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.35305367165714,23.603234090240427]}"
0_9,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.3979694358631,23.603234090240427]}"
0_10,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44288520006909,23.603234090240427]}"
0_11,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.48780096427505,23.603234090240427]}"
0_12,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.53271672848103,23.603234090240427]}"
0_13,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.57763249268702,23.603234090240427]}"
0_14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.62254825689298,23.603234090240427]}"
0_15,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.66746402109897,23.603234090240427]}"
0_16,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71237978530493,23.603234090240427]}"
0_17,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.75729554951091,23.603234090240427]}"
0_18,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.8022113137169,23.603234090240427]}"
0_19,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.84712707792286,23.603234090240427]}"
0_20,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.89204284212884,23.603234090240427]}"
0_21,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.93695860633483,23.603234090240427]}"
0_22,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.9818743705408,23.603234090240427]}"
0_23,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.02679013474678,23.603234090240427]}"
0_24,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.07170589895274,23.603234090240427]}"
0_25,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.11662166315872,23.603234090240427]}"
0_26,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1615374273647,23.603234090240427]}"
0_27,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20645319157067,23.603234090240427]}"
0_28,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25136895577666,23.603234090240427]}"
0_29,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29628471998262,23.603234090240427]}"
0_30,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3412004841886,23.603234090240427]}"
0_31,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38611624839459,23.603234090240427]}"
0_32,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43103201260055,23.603234090240427]}"
0_33,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47594777680654,23.603234090240427]}"
0_34,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5208635410125,23.603234090240427]}"
0_35,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56577930521848,23.603234090240427]}"
0_36,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.61069506942447,23.603234090240427]}"
0_37,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.65561083363043,23.603234090240427]}"
0_38,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.70052659783642,23.603234090240427]}"
0_39,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.74544236204238,23.603234090240427]}"
0_40,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.79035812624836,23.603234090240427]}"
0_41,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.83527389045435,23.603234090240427]}"
0_42,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88018965466031,23.603234090240427]}"
